station_id,pol_var_id,cluster
1,B48001,3
1,B48002,2
1,B48003,1
1,B48005,8
1,B48006,8
1,B48007,9
1,B48008,2
1,B48011,8
1,B48012,9
1,B48013,1
1,B48015,9
1,B48016,2
1,B48017,7
1,B48018,0
1,B48019,3
1,B48021,5
1,B48023,0
1,B48024,7
1,B48025,4
1,B48026,4
1,B48029,2
1,B48030,1
1,B48031,9
1,B48032,6
1,B48033,1
1,B48034,2
1,B48036,9
1,B48037,1
1,B48038,4
1,B48039,3
1,B48041,3
1,B48044,3
1,B48045,9
2,B48001,6
2,B48002,2
2,B48003,9
2,B48005,8
2,B48006,8
2,B48007,4
2,B48008,2
2,B48011,8
2,B48012,4
2,B48013,1
2,B48015,9
2,B48016,2
2,B48017,9
2,B48018,8
2,B48019,6
2,B48021,5
2,B48023,0
2,B48024,9
2,B48025,8
2,B48026,4
2,B48029,4
2,B48030,9
2,B48031,4
2,B48032,7
2,B48033,4
2,B48034,2
2,B48036,4
2,B48037,9
2,B48038,4
2,B48039,6
2,B48041,0
2,B48044,7
2,B48045,4
4,B48001,6
4,B48002,2
4,B48003,1
4,B48005,8
4,B48006,8
4,B48007,9
4,B48008,2
4,B48011,8
4,B48012,9
4,B48013,1
4,B48015,9
4,B48016,2
4,B48017,4
4,B48018,0
4,B48019,3
4,B48021,5
4,B48023,0
4,B48024,9
4,B48025,8
4,B48026,4
4,B48029,2
4,B48030,1
4,B48031,9
4,B48032,7
4,B48033,1
4,B48034,2
4,B48036,9
4,B48037,9
4,B48038,4
4,B48039,3
4,B48041,3
4,B48044,6
4,B48045,7
5,B48001,6
5,B48002,2
5,B48003,1
5,B48005,8
5,B48006,8
5,B48007,4
5,B48008,2
5,B48011,8
5,B48012,9
5,B48013,1
5,B48015,9
5,B48016,2
5,B48017,9
5,B48018,0
5,B48019,3
5,B48021,5
5,B48023,0
5,B48024,9
5,B48025,8
5,B48026,4
5,B48029,4
5,B48030,1
5,B48031,9
5,B48032,7
5,B48033,9
5,B48034,2
5,B48036,4
5,B48037,1
5,B48038,4
5,B48039,3
5,B48041,0
5,B48044,6
5,B48045,4
6,B48001,3
6,B48002,2
6,B48003,1
6,B48005,8
6,B48006,8
6,B48007,8
6,B48008,2
6,B48011,8
6,B48012,9
6,B48013,1
6,B48015,9
6,B48016,2
6,B48017,1
6,B48018,0
6,B48019,3
6,B48021,5
6,B48023,0
6,B48024,7
6,B48025,9
6,B48026,4
6,B48029,4
6,B48030,1
6,B48031,9
6,B48032,6
6,B48033,1
6,B48034,2
6,B48036,9
6,B48037,1
6,B48038,4
6,B48039,3
6,B48041,3
6,B48044,3
6,B48045,6
7,B48001,3
7,B48002,2
7,B48003,1
7,B48005,8
7,B48006,8
7,B48007,0
7,B48008,2
7,B48011,0
7,B48012,9
7,B48013,7
7,B48015,7
7,B48016,5
7,B48017,9
7,B48018,6
7,B48019,3
7,B48021,5
7,B48023,0
7,B48024,7
7,B48025,4
7,B48026,4
7,B48029,2
7,B48030,1
7,B48031,1
7,B48032,6
7,B48033,1
7,B48034,2
7,B48036,9
7,B48037,9
7,B48038,9
7,B48039,3
7,B48041,3
7,B48044,3
7,B48045,4
8,B48001,3
8,B48002,2
8,B48003,1
8,B48005,8
8,B48006,8
8,B48007,7
8,B48008,2
8,B48011,8
8,B48012,9
8,B48013,1
8,B48015,9
8,B48016,1
8,B48017,9
8,B48018,0
8,B48019,3
8,B48021,5
8,B48023,0
8,B48024,7
8,B48025,4
8,B48026,4
8,B48029,2
8,B48030,1
8,B48031,9
8,B48032,6
8,B48033,1
8,B48034,2
8,B48036,9
8,B48037,9
8,B48038,4
8,B48039,3
8,B48041,3
8,B48044,3
8,B48045,6
9,B48001,6
9,B48002,2
9,B48003,1
9,B48005,8
9,B48006,8
9,B48007,9
9,B48008,2
9,B48011,8
9,B48012,4
9,B48013,1
9,B48015,9
9,B48016,2
9,B48017,9
9,B48018,0
9,B48019,3
9,B48021,5
9,B48023,0
9,B48024,9
9,B48025,8
9,B48026,4
9,B48029,2
9,B48030,1
9,B48031,4
9,B48032,7
9,B48033,9
9,B48034,2
9,B48036,4
9,B48037,4
9,B48038,4
9,B48039,3
9,B48041,3
9,B48044,6
9,B48045,7
10,B48001,6
10,B48002,2
10,B48003,1
10,B48005,8
10,B48006,8
10,B48007,9
10,B48008,2
10,B48011,8
10,B48012,9
10,B48013,1
10,B48015,9
10,B48016,2
10,B48017,4
10,B48018,0
10,B48019,6
10,B48021,5
10,B48023,0
10,B48024,9
10,B48025,4
10,B48026,4
10,B48029,2
10,B48030,9
10,B48031,9
10,B48032,7
10,B48033,9
10,B48034,2
10,B48036,9
10,B48037,9
10,B48038,4
10,B48039,6
10,B48041,0
10,B48044,6
10,B48045,4
11,B48001,3
11,B48002,2
11,B48003,1
11,B48005,8
11,B48006,8
11,B48007,7
11,B48008,2
11,B48011,8
