station_id,pol_var_id,cluster
1,B48001,1
1,B48002,5
1,B48003,0
1,B48005,2
1,B48006,2
1,B48007,3
1,B48008,5
1,B48011,2
1,B48012,7
1,B48013,3
1,B48015,3
1,B48016,5
1,B48017,3
1,B48018,1
1,B48019,7
1,B48021,8
1,B48023,4
1,B48024,6
1,B48025,3
1,B48026,3
1,B48029,5
1,B48030,3
1,B48031,9
1,B48032,6
1,B48033,0
1,B48034,0
1,B48036,7
1,B48037,3
1,B48038,9
1,B48039,4
1,B48041,1
1,B48044,9
1,B48045,6
2,B48001,6
2,B48002,0
2,B48003,0
2,B48005,2
2,B48006,2
2,B48007,9
2,B48008,5
2,B48011,3
2,B48012,7
2,B48013,3
2,B48015,9
2,B48016,0
2,B48017,9
2,B48018,1
2,B48019,6
2,B48021,8
2,B48023,4
2,B48024,3
2,B48025,3
2,B48026,9
2,B48029,0
2,B48030,9
2,B48031,9
2,B48032,3
2,B48033,0
2,B48034,0
2,B48036,6
2,B48037,9
2,B48038,9
2,B48039,2
2,B48041,6
2,B48044,9
2,B48045,3
4,B48001,1
4,B48002,5
4,B48003,0
4,B48005,2
4,B48006,2
4,B48007,3
4,B48008,5
4,B48011,2
4,B48012,7
4,B48013,3
4,B48015,9
4,B48016,5
4,B48017,9
4,B48018,1
4,B48019,6
4,B48021,8
4,B48023,4
4,B48024,6
4,B48025,3
4,B48026,9
4,B48029,5
4,B48030,9
4,B48031,9
4,B48032,6
4,B48033,0
4,B48034,0
4,B48036,7
4,B48037,3
4,B48038,9
4,B48039,4
4,B48041,1
4,B48044,9
4,B48045,6
5,B48001,7
5,B48002,5
5,B48003,0
5,B48005,2
5,B48006,2
5,B48007,3
5,B48008,5
5,B48011,2
5,B48012,7
5,B48013,3
5,B48015,3
5,B48016,5
5,B48017,0
5,B48018,1
5,B48019,6
5,B48021,8
5,B48023,4
5,B48024,6
5,B48025,3
5,B48026,9
5,B48029,5
5,B48030,9
5,B48031,9
5,B48032,6
5,B48033,0
5,B48034,0
5,B48036,7
5,B48037,3
5,B48038,9
5,B48039,4
5,B48041,7
5,B48044,9
5,B48045,3
6,B48001,1
6,B48002,5
6,B48003,0
6,B48005,2
6,B48006,2
6,B48007,3
6,B48008,5
6,B48011,2
6,B48012,7
6,B48013,3
6,B48015,3
6,B48016,5
6,B48017,3
6,B48018,1
6,B48019,7
6,B48021,8
6,B48023,4
6,B48024,6
6,B48025,3
6,B48026,9
6,B48029,0
6,B48030,3
6,B48031,9
6,B48032,6
6,B48033,0
6,B48034,0
6,B48036,7
6,B48037,3
6,B48038,9
6,B48039,4
6,B48041,1
6,B48044,9
6,B48045,1
7,B48001,1
7,B48002,5
7,B48003,0
7,B48005,2
7,B48006,2
7,B48007,6
7,B48008,5
7,B48011,2
7,B48012,7
7,B48013,3
7,B48015,3
7,B48016,5
7,B48017,9
7,B48018,1
7,B48019,1
7,B48021,8
7,B48023,4
7,B48024,6
7,B48025,3
7,B48026,3
7,B48029,5
7,B48030,3
7,B48031,9
7,B48032,6
7,B48033,0
7,B48034,0
7,B48036,7
7,B48037,9
7,B48038,9
7,B48039,4
7,B48041,1
7,B48044,9
7,B48045,6
8,B48001,1
8,B48002,5
8,B48003,0
8,B48005,2
8,B48006,2
8,B48007,3
8,B48008,5
8,B48011,2
8,B48012,7
8,B48013,3
8,B48015,3
8,B48016,5
8,B48017,9
