station_id,pol_var_id,cluster
1,B48001,5
1,B48002,4
1,B48003,4
1,B48005,2
1,B48006,2
1,B48007,0
1,B48008,6
1,B48011,9
1,B48012,1
1,B48013,1
1,B48015,3
1,B48016,4
1,B48017,1
1,B48018,5
1,B48019,0
1,B48021,6
1,B48023,7
1,B48024,5
1,B48025,5
1,B48026,3
1,B48029,6
1,B48030,3
1,B48031,3
1,B48032,8
1,B48033,4
1,B48034,4
1,B48036,5
1,B48037,1
1,B48038,3
1,B48039,7
1,B48041,0
1,B48044,3
1,B48045,8
2,B48001,8
2,B48002,4
2,B48003,3
2,B48005,9
2,B48006,9
2,B48007,8
2,B48008,4
2,B48011,9
2,B48012,1
2,B48013,1
2,B48015,3
2,B48016,4
2,B48017,1
2,B48018,8
2,B48019,5
2,B48021,6
2,B48023,2
2,B48024,8
2,B48025,8
2,B48026,3
2,B48029,4
2,B48030,3
2,B48031,3
2,B48032,1
2,B48033,4
2,B48034,4
2,B48036,8
2,B48037,3
2,B48038,3
2,B48039,2
2,B48041,5
2,B48044,3
2,B48045,1
4,B48001,5
4,B48002,4
4,B48003,3
4,B48005,2
4,B48006,2
4,B48007,5
4,B48008,6
4,B48011,9
4,B48012,1
4,B48013,1
4,B48015,3
4,B48016,4
4,B48017,1
4,B48018,8
4,B48019,0
4,B48021,6
4,B48023,7
4,B48024,5
4,B48025,5
4,B48026,3
4,B48029,6
4,B48030,3
4,B48031,3
4,B48032,8
4,B48033,4
4,B48034,4
4,B48036,5
4,B48037,1
4,B48038,3
4,B48039,7
4,B48041,0
4,B48044,3
4,B48045,8
5,B48001,5
5,B48002,4
5,B48003,3
5,B48005,2
5,B48006,2
5,B48007,5
5,B48008,6
5,B48011,9
5,B48012,1
5,B48013,1
5,B48015,3
5,B48016,4
5,B48017,1
5,B48018,8
5,B48019,0
5,B48021,6
5,B48023,7
5,B48024,5
5,B48025,5
5,B48026,3
5,B48029,6
5,B48030,3
5,B48031,3
5,B48032,8
5,B48033,4
5,B48034,4
5,B48036,5
5,B48037,1
5,B48038,3
5,B48039,7
5,B48041,0
5,B48044,3
5,B48045,8
6,B48001,5
6,B48002,4
6,B48003,4
6,B48005,2
6,B48006,2
6,B48007,5
6,B48008,6
6,B48011,9
6,B48012,1
6,B48013,1
6,B48015,3
6,B48016,4
6,B48017,1
6,B48018,5
6,B48019,0
6,B48021,6
6,B48023,7
6,B48024,5
6,B48025,5
6,B48026,3
6,B48029,4
6,B48030,3
6,B48031,3
6,B48032,8
6,B48033,4
6,B48034,4
6,B48036,5
6,B48037,1
6,B48038,3
6,B48039,7
6,B48041,0
6,B48044,3
6,B48045,8
7,B48001,5
7,B48002,4
7,B48003,3
7,B48005,2
7,B48006,2
7,B48007,5
7,B48008,6
7,B48011,9
7,B48012,1
7,B48013,1
7,B48015,3
7,B48016,4
7,B48017,1
7,B48018,8
7,B48019,0
7,B48021,6
7,B48023,7
7,B48024,5
7,B48025,5
7,B48026,3
7,B48029,6
7,B48030,3
7,B48031,3
7,B48032,8
7,B48033,4
7,B48034,4
7,B48036,5
7,B48037,3
7,B48038,3
7,B48039,7
7,B48041,0
7,B48044,3
7,B48045,8
8,B48001,5
8,B48002,4
8,B48003,3
8,B48005,2
8,B48006,2
8,B48007,5
8,B48008,6
8,B48011,9
8,B48012,1
8,B48013,1
8,B48015,3
8,B48016,4
8,B48017,1
8,B48018,8
8,B48019,0
8,B48021,6
8,B48023,7
8,B48024,5
8,B48025,5
8,B48026,3
8,B48029,6
8,B48030,3
8,B48031,3
8,B48032,8
8,B48033,4
8,B48034,4
8,B48036,5
8,B48037,3
8,B48038,3
8,B48039,7
8,B48041,0
8,B48044,3
8,B48045,8
9,B48001,5
9,B48002,4
9,B48003,3
9,B48005,2
9,B48006,2
9,B48007,5
9,B48008,6
9,B48011,9
9,B48012,1
9,B48013,1
9,B48015,3
9,B48016,4
9,B48017,1
9,B48018,8
9,B48019,0
9,B48021,6
9,B48023,7
9,B48024,5
9,B48025,5
9,B48026,3
9,B48029,4
9,B48030,3
9,B48031,3
9,B48032,8
9,B48033,4
9,B48034,4
9,B48036,5
9,B48037,3
9,B48038,3
9,B48039,7
9,B48041,0
9,B48044,3
9,B48045,8
10,B48001,8
10,B48002,4
10,B48003,3
10,B48005,9
10,B48006,9
10,B48007,8
10,B48008,4
10,B48011,9
10,B48012,1
10,B48013,1
10,B48015,3
10,B48016,4
10,B48017,3
10,B48018,8
10,B48019,5
10,B48021,6
10,B48023,2
10,B48024,8
10,B48025,8
10,B48026,3
10,B48029,4
10,B48030,3
10,B48031,3
10,B48032,1
10,B48033,4
10,B48034,4
10,B48036,8
10,B48037,3
10,B48038,3
10,B48039,2
10,B48041,5
10,B48044,3
10,B48045,1
11,B48001,5
11,B48002,4
11,B48003,3
11,B48005,2
11,B48006,2
11,B48007,0
11,B48008,6
11,B48011,9
11,B48012,1
11,B48013,8
11,B48015,3
11,B48016,4
11,B48017,1
11,B48018,5
11,B48019,0
11,B48021,6
11,B48023,7
11,B48024,5
11,B48025,0
11,B48026,3
11,B48029,6
11,B48030,3
11,B48031,3
11,B48032,8
11,B48033,4
11,B48034,4
11,B48036,5
11,B48037,3
11,B48038,3
11,B48039,7
11,B48041,0
11,B48044,3
11,B48045,8
13,B48001,8
13,B48002,4
13,B48003,3
13,B48005,2
13,B48006,2
13,B48007,5
13,B48008,6
13,B48011,9
13,B48012,1
13,B48013,1
13,B48015,3
13,B48016,4
13,B48017,1
13,B48018,8
13,B48019,0
13,B48021,6
13,B48023,7
13,B48024,8
13,B48025,5
13,B48026,3
13,B48029,3
13,B48030,3
13,B48031,3
13,B48032,8
13,B48033,4
13,B48034,4
13,B48036,5
13,B48037,1
13,B48038,3
13,B48039,7
13,B48041,0
13,B48044,3
13,B48045,1
