cluster_id,model_name,exp_id,batch_size,dropout,layer_dense_units,layer_lstm_1_units,layer_lstm_2_units,learning_rate,sequence_len,test_error
0,LSTM_base,7,512,0.9,128,64,256,0.0576,14,0.0441
1,LSTM_base,10,512,0.7,128,256,256,0.0313,21,0.0
2,LSTM_base,6,512,0.3,128,128,128,0.0804,14,0.0522
3,LSTM_base,5,512,0.1,512,64,512,0.0651,7,0.0288
4,LSTM_base,5,256,0.1,64,64,128,0.0716,7,0.0314
5,LSTM_base,8,512,0.9,128,256,128,0.0022,14,0.057
6,LSTM_base,9,1024,0.5,64,128,64,0.0076,7,0.0321
7,LSTM_base,7,256,0.5,512,256,256,0.0061,21,0.0488
8,LSTM_base,5,512,0.9,128,256,512,0.0685,21,0.0
9,LSTM_base,5,1024,0.3,128,64,64,0.0109,14,0.051
